,time,measurement,value
0,1641920643.825523,state_est_mean,"[-2.2064666748046875, 0.4856360852718353, 0.0035679361317306757]"
1,1641920643.825523,state_est_cov,"[[8.799893112154678e-05, 0.00012434713426046073, 0.0], [0.00012434704694896936, 0.00020243752805981785, 0.0], [0.0, 0.0, 0.0009900990407913923]]"
2,1641920643.825523,control_command,"[0.09050467610359192, -0.5909764170646667]"
3,1641920643.825523,V,10.321208000183105
4,1641920643.9461284,state_est_mean,"[-2.1990134716033936, 0.4894540011882782, -0.05420679971575737]"
5,1641920643.9461284,state_est_cov,"[[5.335534660844132e-05, 7.472874858649448e-05, 1.2255312640263583e-06], [7.472873403457925e-05, 0.000123444915516302, 4.6568011384806596e-06], [1.225534219884139e-06, 4.6568056859541684e-06, 0.0010774903930723667]]"
6,1641920643.9461284,control_command,"[0.0915570855140686, -0.4550778269767761]"
7,1641920643.9461284,V,10.265850067138672
8,1641920644.0471938,state_est_mean,"[-2.19180965423584, 0.4862160384654999, -0.10677408427000046]"
9,1641920644.0471938,state_est_cov,"[[4.0194066968979314e-05, 5.4294057918014005e-05, 3.0611095098720398e-06], [5.4294057918014005e-05, 9.08981601241976e-05, 8.777118637226522e-06], [3.0611136025981978e-06, 8.777125003689434e-06, 0.0011620111763477325]]"
10,1641920644.0471938,control_command,"[0.09230709075927734, -0.32370108366012573]"
11,1641920644.0471938,V,10.19871997833252
12,1641920644.1472073,state_est_mean,"[-2.183060884475708, 0.4881271719932556, -0.13466566801071167]"
13,1641920644.1472073,state_est_cov,"[[3.3539334253873676e-05, 4.3751802877523005e-05, 5.438601419882616e-06], [4.3751802877523005e-05, 7.433690188918263e-05, 1.3009083886572625e-05], [5.438604603114072e-06, 1.3009088434046134e-05, 0.0012438505655154586]]"
14,1641920644.1472073,control_command,"[0.09257832169532776, -0.259958416223526]"
15,1641920644.1472073,V,10.129356384277344
16,1641920644.2471132,state_est_mean,"[-2.1791305541992188, 0.48770734667778015, -0.16053245961666107]"
17,1641920644.2471132,state_est_cov,"[[2.9733413612120785e-05, 3.75369236280676e-05, 7.994529369170777e-06], [3.753691999008879e-05, 6.441679579438642e-05, 1.722641900414601e-05], [7.994532097654883e-06, 1.722642446111422e-05, 0.0013229126343503594]]"
18,1641920644.2471132,control_command,"[0.092789426445961, -0.1963287740945816]"
19,1641920644.2471132,V,10.095767974853516
20,1641920644.3455925,state_est_mean,"[-2.1700704097747803, 0.4854384958744049, -0.1833495795726776]"
21,1641920644.3455925,state_est_cov,"[[2.7315469196764752e-05, 3.362721690791659e-05, 1.0688027941796463e-05], [3.36272205458954e-05, 5.8239660575054586e-05, 2.1542997274082154e-05], [1.068803157977527e-05, 2.1543002731050365e-05, 0.0013991136802360415]]"
22,1641920644.3455925,control_command,"[0.09292424470186234, -0.14130868017673492]"
23,1641920644.3455925,V,10.01606559753418
24,1641920644.4474545,state_est_mean,"[-2.163248062133789, 0.486335813999176, -0.19451522827148438]"
25,1641920644.4474545,state_est_cov,"[[2.58227428275859e-05, 3.110422767349519e-05, 1.3438963833323214e-05], [3.110422767349519e-05, 5.428963777376339e-05, 2.5917850507539697e-05], [1.3438965652312618e-05, 2.59178523265291e-05, 0.0014723266940563917]]"
26,1641920644.4474545,control_command,"[0.09296821802854538, -0.11791063100099564]"
27,1641920644.4474545,V,9.96163272857666
28,1641920644.5466526,state_est_mean,"[-2.152756929397583, 0.48209601640701294, -0.21591950953006744]"
29,1641920644.5466526,state_est_cov,"[[2.4860735720722005e-05, 2.942053288279567e-05, 1.6141970263561234e-05], [2.9420529244816862e-05, 5.15799256390892e-05, 3.0186040021362714e-05], [1.614196844457183e-05, 3.0186040021362714e-05, 0.0015423124423250556]]"
30,1641920644.5466526,control_command,"[0.09305402636528015, -0.04538891464471817]"
31,1641920644.5466526,V,9.86744213104248
32,1641920644.6466596,state_est_mean,"[-2.148146390914917, 0.48398280143737793, -0.21239809691905975]"
33,1641920644.6466596,state_est_cov,"[[2.4295699404319748e-05, 2.8323674996499904e-05, 1.886661266325973e-05], [2.8323674996499904e-05, 4.990798333892599e-05, 3.4481301554478705e-05], [1.886661266325973e-05, 3.448130519245751e-05, 0.0016091264551505446]]"
34,1641920644.6466596,control_command,"[0.09304425865411758, -0.05837245658040047]"
35,1641920644.6466596,V,9.833602905273438
36,1641920644.7470767,state_est_mean,"[-2.136232852935791, 0.48589766025543213, -0.21311435103416443]"
37,1641920644.7470767,state_est_cov,"[[2.3914217308629304e-05, 2.758417213044595e-05, 2.1407280655694194e-05], [2.7584173949435353e-05, 4.867354437010363e-05, 3.8516132917720824e-05], [2.1407280655694194e-05, 3.851613655569963e-05, 0.0016724115703254938]]"
38,1641920644.7470767,control_command,"[0.09303893148899078, -0.06436701864004135]"
39,1641920644.7470767,V,9.741072654724121
40,1641920644.8470173,state_est_mean,"[-2.1256182193756104, 0.48850515484809875, -0.209400475025177]"
