,time,measurement,value
0,1642192998.9225361,state_est_mean,"[-2.1978719234466553, 0.49632418155670166, 0.0035637354012578726]"
1,1642192998.9225361,state_est_cov,"[[7.616448419867083e-05, 0.00021852986537851393, 0.0], [0.00021852987993042916, 0.0009414705564267933, 0.0], [0.0, 0.0, 0.0009900990407913923]]"
2,1642192998.9225361,control_command,"[0.09710364788770676, -0.1194656491279602]"
3,1642192998.9225361,V,10.270166397094727
4,1642192999.0264246,state_est_mean,"[-2.1646852493286133, 0.5001086592674255, -0.05436722934246063]"
5,1642192999.0264246,state_est_cov,"[[9.246398258255795e-05, 0.00027623435016721487, 9.678838978288695e-06], [0.00027623435016721487, 0.0011702408082783222, 4.394187271827832e-05], [9.678838068793993e-06, 4.394186908029951e-05, 0.003372075268998742]]"
6,1642192999.0264246,control_command,"[0.09816422313451767, -0.09536582976579666]"
7,1642192999.0264246,V,10.00161075592041
8,1642192999.0448854,state_est_mean,"[-2.1310179233551025, 0.4969939887523651, -0.1338978111743927]"
9,1642192999.0448854,state_est_cov,"[[0.00011110814375570044, 0.0003379334229975939, 4.389973037177697e-05], [0.0003379334229975939, 0.0014031289611011744, 0.00018948652723338455], [4.389973037177697e-05, 0.00018948652723338455, 0.005543896928429604]]"
10,1642192999.0448854,control_command,"[0.09928493946790695, -0.059687159955501556]"
11,1642192999.0448854,V,9.72184944152832
12,1642192999.4718773,state_est_mean,"[-2.100092887878418, 0.4970698356628418, -0.14077632129192352]"
13,1642192999.4718773,state_est_cov,"[[0.00012954080011695623, 0.00040032624383457005, 0.00010019978799391538], [0.0004003262147307396, 0.0016524275997653604, 0.0004176018701400608], [0.00010019978799391538, 0.00041760189924389124, 0.007441858295351267]]"
14,1642192999.4718773,control_command,"[0.09925204515457153, -0.0610390268266201]"
15,1642192999.4718773,V,9.47774887084961
16,1642192999.971902,state_est_mean,"[-2.0764098167419434, 0.49390909075737, -0.18169145286083221]"
17,1642192999.971902,state_est_cov,"[[0.0001512416492914781, 0.00047138938680291176, 0.00017048901645466685], [0.0004713893576990813, 0.0019168374128639698, 0.0006961445906199515], [0.00017048901645466685, 0.0006961446488276124, 0.009036573581397533]]"
18,1642192999.971902,control_command,"[0.09960304945707321, -0.044505950063467026]"
19,1642192999.971902,V,9.288880348205566
20,1642193000.47617,state_est_mean,"[-2.035043716430664, 0.48144984245300293, -0.22583459317684174]"
21,1642193000.47617,state_est_cov,"[[0.0001721222943160683, 0.0005442388355731964, 0.0002488398167770356], [0.0005442388355731964, 0.0022032258566468954, 0.00100306689273566], [0.0002488398167770356, 0.001003067009150982, 0.010336178354918957]]"
22,1642193000.47617,control_command,"[0.0999203473329544, -0.019952494651079178]"
23,1642193000.47617,V,8.958245277404785
24,1642193000.9761317,state_est_mean,"[-1.9996713399887085, 0.47521400451660156, -0.225895956158638]"
25,1642193000.9761317,state_est_cov,"[[0.00019370946392882615, 0.00061700155492872, 0.00032752446713857353], [0.00061700155492872, 0.0025140310171991587, 0.001318385824561119], [0.00032752446713857353, 0.001318385940976441, 0.011368091218173504]]"
26,1642193000.9761317,control_command,"[0.0998438224196434, -0.02793365903198719]"
27,1642193000.9761317,V,8.698538780212402
28,1642193001.4763908,state_est_mean,"[-1.9506765604019165, 0.45026203989982605, -0.3014978766441345]"
29,1642193001.4763908,state_est_cov,"[[0.00021893912344239652, 0.0006991883274167776, 0.00040475293644703925], [0.0006991883856244385, 0.0028371941298246384, 0.0016209695022553205], [0.0004047529655508697, 0.0016209696186706424, 0.012167480774223804]]"
30,1642193001.4763908,control_command,"[0.09997912496328354, -0.010218048468232155]"
31,1642193001.4763908,V,8.334892272949219
32,1642193001.976206,state_est_mean,"[-1.9227341413497925, 0.44861355423927307, -0.2583223283290863]"
33,1642193001.976206,state_est_cov,"[[0.00023637627600692213, 0.0007631490589119494, 0.0004680642450693995], [0.0007631490589119494, 0.0031890126410871744, 0.0019042943604290485], [0.000468064215965569, 0.0019042942440137267, 0.012772892601788044]]"
34,1642193001.976206,control_command,"[0.09936416894197464, -0.05629460886120796]"
35,1642193001.976206,V,8.172289848327637
36,1642193002.4717894,state_est_mean,"[-1.8690956830978394, 0.44768500328063965, -0.2546910345554352]"
37,1642193002.4717894,state_est_cov,"[[0.0002638677542563528, 0.0008527671452611685, 0.0005325869424268603], [0.0008527671452611685, 0.003534473944455385, 0.002157724928110838], [0.0005325869424268603, 0.002157724928110838, 0.013231165707111359]]"
38,1642193002.4717894,control_command,"[0.09246383607387543, -0.1904231756925583]"
39,1642193002.4717894,V,7.933217525482178
40,1642193002.9755151,state_est_mean,"[-1.8214188814163208, 0.4555690586566925, -0.2847491204738617]"
41,1642193002.9755151,state_est_cov,"[[0.00030057356343604624, 0.0009489873191341758, 0.0005915093934163451], [0.0009489873191341758, 0.003848840482532978, 0.0023339686449617147], [0.000591509451624006, 0.0023339686449617147, 0.013567408546805382]]"
42,1642193002.9755151,control_command,"[0.0, -0.4889839291572571]"
43,1642193002.9755151,V,7.898312568664551
44,1642193003.4756582,state_est_mean,"[-1.8078995943069458, 0.472251296043396, -0.46121010184288025]"
