,time,measurement,value
0,1642193109.118187,state_est_mean,"[-2.2064669132232666, 0.4856361150741577, 0.00356599735096097]"
1,1642193109.118187,state_est_cov,"[[8.799893112154678e-05, 0.00012434713426046073, 0.0], [0.00012434704694896936, 0.00020243752805981785, 0.0], [0.0, 0.0, 0.0009900990407913923]]"
2,1642193109.118187,control_command,"[0.0905047059059143, -0.5909714698791504]"
3,1642193109.118187,V,10.321209907531738
4,1642193109.2364926,state_est_mean,"[-2.16706919670105, 0.490129292011261, -0.2815936505794525]"
5,1642193109.2364926,state_est_cov,"[[7.528092100983486e-05, 0.00010335871047573164, 8.891053767001722e-06], [0.00010335861588828266, 0.00017019931692630053, 1.5015837561804801e-05], [8.891048310033511e-06, 1.5015846656751819e-05, 0.0033695874735713005]]"
6,1642193109.2364926,control_command,"[0.09299492090940475, 0.1010962575674057]"
7,1642193109.2364926,V,10.000783920288086
8,1642193109.2536516,state_est_mean,"[-2.1319589614868164, 0.48257267475128174, -0.25531691312789917]"
9,1642193109.2536516,state_est_cov,"[[7.558453944511712e-05, 0.00010073672456201166, 3.822254075203091e-05], [0.0001007367463898845, 0.00016387477808166295, 6.165364175103605e-05], [3.8222558941924945e-05, 6.165364175103605e-05, 0.0055093769915401936]]"
10,1642193109.2536516,control_command,"[0.09305520355701447, 0.043559666723012924]"
11,1642193109.2536516,V,9.700285911560059
12,1642193109.717248,state_est_mean,"[-2.09320068359375, 0.48776400089263916, -0.19680938124656677]"
13,1642193109.717248,state_est_cov,"[[7.843681669328362e-05, 0.00010262854630127549, 7.253699004650116e-05], [0.00010262854630127549, 0.00016568502178415656, 0.00011533739598235115], [7.253697549458593e-05, 0.00011533738143043593, 0.007302051410079002]]"
14,1642193109.717248,control_command,"[0.09294217079877853, -0.1322733461856842]"
15,1642193109.717248,V,9.40532112121582
16,1642193110.2174711,state_est_mean,"[-2.0645902156829834, 0.48539894819259644, -0.2596312165260315]"
17,1642193110.2174711,state_est_cov,"[[8.155468822224066e-05, 0.00010350283264415339, 0.00010204264253843576], [0.00010350282536819577, 0.00016379418957512826, 0.00015854828234296292], [0.0001020426643663086, 0.00015854831144679338, 0.008701537735760212]]"
18,1642193110.2174711,control_command,"[0.0930684432387352, 0.00831105187535286]"
19,1642193110.2174711,V,9.183008193969727
20,1642193110.717242,state_est_mean,"[-2.0255725383758545, 0.4786466658115387, -0.26446250081062317]"
21,1642193110.717242,state_est_cov,"[[8.428569708485156e-05, 0.0001051427680067718, 0.00012823249562643468], [0.00010514274617889896, 0.00016499300545547158, 0.0001961116649908945], [0.00012823248107451946, 0.0001961117668543011, 0.009743553586304188]]"
22,1642193110.717242,control_command,"[0.09306797385215759, -0.011586615815758705]"
23,1642193110.717242,V,8.885066986083984
