seed,measurement,value
0.0,Cost,78.286156
0.0,Pre-adversary cost,78.00126
0.0,Cost gap,0.24302673
0.0,Optimization time (s),1000.005126953125
0.0,Compilation time (s),0.0
0.0,STL Robustness,-74.33636
0.0,Pre-adversary STL Robustness,-74.33639
0.0,Total effort (N-s),78158.33
0.0,Optimization rounds,1
0.0,Final population size,1
0.0,Feasible,1.0
0.0,Optimization rounds,1
1.0,Feasible,0.0
1.0,Optimization time (s),1000.0055847167968
1.0,Optimization rounds,1.0
2.0,Feasible,0.0
2.0,Optimization time (s),1000.0032715797424
2.0,Optimization rounds,1.0
3.0,Feasible,0.0
3.0,Optimization time (s),1000.0047671794892
3.0,Optimization rounds,1.0
4.0,Cost,78.059555
4.0,Pre-adversary cost,77.8009
4.0,Cost gap,0.21678162
4.0,Optimization time (s),1000.0085377693176
4.0,Compilation time (s),0.0
4.0,STL Robustness,-74.335434
4.0,Pre-adversary STL Robustness,-74.33541
4.0,Total effort (N-s),73645.27
4.0,Optimization rounds,1
4.0,Final population size,1
4.0,Feasible,1.0
4.0,Optimization rounds,1
5.0,Feasible,0.0
5.0,Optimization time (s),1000.0046951770782
5.0,Optimization rounds,1.0
6.0,Feasible,0.0
6.0,Optimization time (s),1000.0034770965576
6.0,Optimization rounds,1.0
7.0,Feasible,0.0
7.0,Optimization time (s),1000.0066766738892
7.0,Optimization rounds,1.0
8.0,Feasible,0.0
8.0,Optimization time (s),1000.0030529499054
8.0,Optimization rounds,1.0
9.0,Feasible,0.0
9.0,Optimization time (s),1000.0029332637788
9.0,Optimization rounds,1.0
10.0,Feasible,0.0
10.0,Optimization time (s),1000.002756357193
10.0,Optimization rounds,1.0
11.0,Cost,78.26246
11.0,Pre-adversary cost,78.010345
11.0,Cost gap,0.2102356
11.0,Optimization time (s),1000.0146479606628
11.0,Compilation time (s),0.0
11.0,STL Robustness,-74.39434
11.0,Pre-adversary STL Robustness,-74.39432
11.0,Total effort (N-s),76525.08
11.0,Optimization rounds,1
11.0,Final population size,1
11.0,Feasible,1.0
11.0,Optimization rounds,1
12.0,Cost,78.19956
12.0,Pre-adversary cost,77.97121
12.0,Cost gap,0.18656921
12.0,Optimization time (s),1000.0066268444061
12.0,Compilation time (s),0.0
12.0,STL Robustness,-74.345024
12.0,Pre-adversary STL Robustness,-74.34507
12.0,Total effort (N-s),76255.38
12.0,Optimization rounds,1
12.0,Final population size,1
12.0,Feasible,1.0
12.0,Optimization rounds,1
13.0,Cost,78.109604
13.0,Pre-adversary cost,77.83934
13.0,Cost gap,0.228508
13.0,Optimization time (s),1000.0266964435577
13.0,Compilation time (s),0.0
13.0,STL Robustness,-74.39825
13.0,Pre-adversary STL Robustness,-74.39818
13.0,Total effort (N-s),73389.86
13.0,Optimization rounds,1
13.0,Final population size,1
13.0,Feasible,1.0
13.0,Optimization rounds,1
14.0,Feasible,0.0
14.0,Optimization time (s),1000.007594347
14.0,Optimization rounds,1.0
15.0,Feasible,0.0
15.0,Optimization time (s),1000.0032684803008
15.0,Optimization rounds,1.0
16.0,Feasible,0.0
16.0,Optimization time (s),1000.0059945583344
16.0,Optimization rounds,1.0
17.0,Feasible,0.0
17.0,Optimization time (s),1000.0056822299956
17.0,Optimization rounds,1.0
18.0,Cost,78.25265
18.0,Pre-adversary cost,78.00329
18.0,Cost gap,0.20756531
18.0,Optimization time (s),1000.0056788921356
18.0,Compilation time (s),0.0
18.0,STL Robustness,-74.370415
18.0,Pre-adversary STL Robustness,-74.37036
18.0,Total effort (N-s),76809.58
18.0,Optimization rounds,1
18.0,Final population size,1
18.0,Feasible,1.0
18.0,Optimization rounds,1
19.0,Feasible,0.0
19.0,Optimization time (s),1000.002289056778
19.0,Optimization rounds,1.0
20.0,Cost,78.5299
20.0,Pre-adversary cost,78.340164
20.0,Cost gap,0.14787292
20.0,Optimization time (s),1000.0041654109955
20.0,Compilation time (s),0.0
20.0,STL Robustness,-74.35589
20.0,Pre-adversary STL Robustness,-74.35592
20.0,Total effort (N-s),82645.46
20.0,Optimization rounds,1
20.0,Final population size,1
20.0,Feasible,1.0
20.0,Optimization rounds,1
21.0,Feasible,0.0
21.0,Optimization time (s),1000.007213115692
21.0,Optimization rounds,1.0
22.0,Feasible,0.0
22.0,Optimization time (s),1000.0057280063628
22.0,Optimization rounds,1.0
23.0,Feasible,0.0
23.0,Optimization time (s),1000.0031862258912
23.0,Optimization rounds,1.0
24.0,Feasible,0.0
24.0,Optimization time (s),1000.0031774044036
24.0,Optimization rounds,1.0
25.0,Feasible,0.0
25.0,Optimization time (s),1000.0040559768676
25.0,Optimization rounds,1.0
26.0,Feasible,0.0
26.0,Optimization time (s),1000.0039145946504
26.0,Optimization rounds,1.0
27.0,Feasible,0.0
27.0,Optimization time (s),1000.0043959617616
27.0,Optimization rounds,1.0
28.0,Feasible,0.0
28.0,Optimization time (s),1000.0050446987152
28.0,Optimization rounds,1.0
29.0,Cost,78.14099
