seed,measurement,value
0.0,Cost,0.383951
0.0,Cost gap,0.30074692
0.0,Optimization time (s),401.4120187931694
0.0,Compilation time (s),240.67361484421417
0.0,STL Robustness,0.055220284
0.0,Total effort (N-s),9122.193
0.0,Optimization rounds,2.0
0.0,Final population size,64.0
1.0,Cost,0.35143375
1.0,Cost gap,0.26373962
1.0,Optimization time (s),410.4890175871551
1.0,Compilation time (s),262.7674627378583
1.0,STL Robustness,0.05571369
1.0,Total effort (N-s),8486.749
1.0,Optimization rounds,2.0
1.0,Final population size,64.0
2.0,Cost,0.4281738
2.0,Cost gap,0.34674907
2.0,Optimization time (s),422.0123711484485
2.0,Compilation time (s),259.9873350611888
2.0,STL Robustness,0.053291034
2.0,Total effort (N-s),9915.964
2.0,Optimization rounds,2.0
2.0,Final population size,64.0
3.0,Cost,0.3577994
3.0,Cost gap,0.26075083
3.0,Optimization time (s),405.9398091309704
3.0,Compilation time (s),260.3813172481023
3.0,STL Robustness,0.044339254
3.0,Total effort (N-s),8403.0205
3.0,Optimization rounds,2.0
3.0,Final population size,64.0
4.0,Cost,0.34457824
4.0,Cost gap,0.2785174
4.0,Optimization time (s),419.3244221364148
4.0,Compilation time (s),256.00576824881136
4.0,STL Robustness,0.057213288
4.0,Total effort (N-s),8297.029
4.0,Optimization rounds,2.0
4.0,Final population size,64.0
5.0,Cost,0.34949324
5.0,Cost gap,0.28682977
5.0,Optimization time (s),410.5681636440568
5.0,Compilation time (s),258.6939133149572
5.0,STL Robustness,0.05540473
5.0,Total effort (N-s),8286.142
5.0,Optimization rounds,2.0
5.0,Final population size,64.0
6.0,Cost,0.36712965
6.0,Cost gap,0.3121859
6.0,Optimization time (s),412.13473398890346
6.0,Compilation time (s),258.90036318590865
6.0,STL Robustness,0.060034554
6.0,Total effort (N-s),8785.467
6.0,Optimization rounds,2.0
6.0,Final population size,64.0
7.0,Cost,0.382272
7.0,Cost gap,0.31460088
7.0,Optimization time (s),416.7398290070705
7.0,Compilation time (s),257.75281607173383
7.0,STL Robustness,0.060097747
7.0,Total effort (N-s),9079.499
7.0,Optimization rounds,2.0
7.0,Final population size,64.0
8.0,Cost,0.50465405
8.0,Cost gap,0.4495653
8.0,Optimization time (s),409.2586241206154
8.0,Compilation time (s),258.69353711931035
8.0,STL Robustness,-0.07136411
8.0,Total effort (N-s),8070.4497
8.0,Optimization rounds,2.0
8.0,Final population size,64.0
9.0,Cost,0.34172946
9.0,Cost gap,0.2722949
9.0,Optimization time (s),398.976378954947
9.0,Compilation time (s),256.7886680751108
9.0,STL Robustness,0.061654057
9.0,Total effort (N-s),8322.647
9.0,Optimization rounds,2.0
9.0,Final population size,64.0
