seed,measurement,value
0.0,Cost,0.4792077
0.0,Cost gap,-0.0
0.0,Optimization time (s),37.17900786595419
0.0,Compilation time (s),86.93485803902149
0.0,STL Robustness,0.052332178
0.0,Total effort (N-s),10850.885
0.0,Optimization rounds,2.0
0.0,Final population size,9.0
1.0,Cost,0.29762718
1.0,Cost gap,-0.0
1.0,Optimization time (s),39.856640248559415
1.0,Compilation time (s),84.34369834885001
1.0,STL Robustness,0.044172034
1.0,Total effort (N-s),7408.8804
1.0,Optimization rounds,2.0
1.0,Final population size,9.0
2.0,Cost,0.28589687
2.0,Cost gap,-0.0
2.0,Optimization time (s),42.51036050496623
2.0,Compilation time (s),77.76641222974285
2.0,STL Robustness,0.061747354
2.0,Total effort (N-s),7176.5503
2.0,Optimization rounds,2.0
2.0,Final population size,9.0
3.0,Cost,0.27012274
3.0,Cost gap,-0.0
3.0,Optimization time (s),60.35919686872512
3.0,Compilation time (s),94.39768094476312
3.0,STL Robustness,0.05346449
3.0,Total effort (N-s),6831.9844
3.0,Optimization rounds,3.0
3.0,Final population size,10.0
4.0,Cost,0.5644248
4.0,Cost gap,-0.0
4.0,Optimization time (s),39.87980389408767
4.0,Compilation time (s),72.78101482987404
4.0,STL Robustness,-0.15194474
4.0,Total effort (N-s),8162.5874
4.0,Optimization rounds,3.0
4.0,Final population size,10.0
5.0,Cost,0.28692824
5.0,Cost gap,-0.0
5.0,Optimization time (s),61.75609948858619
5.0,Compilation time (s),72.09227398596704
5.0,STL Robustness,0.05873984
5.0,Total effort (N-s),7255.503
5.0,Optimization rounds,5.0
5.0,Final population size,12.0
6.0,Cost,0.3188221
6.0,Cost gap,-0.0
6.0,Optimization time (s),38.57182757928968
6.0,Compilation time (s),73.20209567574784
6.0,STL Robustness,0.060487106
6.0,Total effort (N-s),7876.232
6.0,Optimization rounds,2.0
6.0,Final population size,9.0
7.0,Cost,0.30699024
7.0,Cost gap,-0.0
7.0,Optimization time (s),34.46985571272671
7.0,Compilation time (s),79.4104989906773
7.0,STL Robustness,0.05163164
7.0,Total effort (N-s),7601.504
7.0,Optimization rounds,2.0
7.0,Final population size,9.0
8.0,Cost,0.35726303
8.0,Cost gap,-0.0
8.0,Optimization time (s),54.80937584815547
8.0,Compilation time (s),76.95165087096393
8.0,STL Robustness,0.054171924
8.0,Total effort (N-s),8520.011
