seed,measurement,value
0.0,Cost,7.226226
0.0,Pre-adversary cost,77.921265
0.0,Cost gap,-0.0
0.0,Optimization time (s),500.00417709350586
0.0,Compilation time (s),0.0
0.0,STL Robustness,-2.867057
0.0,Pre-adversary STL Robustness,-74.339584
0.0,Total effort (N-s),104538.305
0.0,Optimization rounds,2
0.0,Final population size,9
0.0,Feasible,1.0
0.0,Optimization rounds,1
1.0,Cost,7.2827716
1.0,Pre-adversary cost,77.87298
1.0,Cost gap,-0.0
1.0,Optimization time (s),500.0082528591156
1.0,Compilation time (s),0.0
1.0,STL Robustness,-3.0644262
1.0,Pre-adversary STL Robustness,-74.33709
1.0,Total effort (N-s),94123.95
1.0,Optimization rounds,2
1.0,Final population size,9
1.0,Feasible,1.0
1.0,Optimization rounds,1
2.0,Cost,5.41843
2.0,Pre-adversary cost,78.00033
2.0,Cost gap,-0.0
2.0,Optimization time (s),500.0045499801636
2.0,Compilation time (s),0.0
2.0,STL Robustness,-1.1984973
2.0,Pre-adversary STL Robustness,-74.33965
2.0,Total effort (N-s),84525.67
2.0,Optimization rounds,4
2.0,Final population size,11
2.0,Feasible,1.0
2.0,Optimization rounds,1
3.0,Cost,10.443012
3.0,Pre-adversary cost,77.8313
3.0,Cost gap,3.33786e-05
3.0,Optimization time (s),500.00566363334656
3.0,Compilation time (s),0.0
3.0,STL Robustness,-9.000047
3.0,Pre-adversary STL Robustness,-74.34092
3.0,Total effort (N-s),95176.766
3.0,Optimization rounds,2
3.0,Final population size,9
3.0,Feasible,1.0
3.0,Optimization rounds,1
4.0,Cost,8.571522
4.0,Pre-adversary cost,77.78209
4.0,Cost gap,-0.0
4.0,Optimization time (s),500.00614380836487
4.0,Compilation time (s),0.0
4.0,STL Robustness,-6.9771595
4.0,Pre-adversary STL Robustness,-74.33965
4.0,Total effort (N-s),139385.9
4.0,Optimization rounds,3
4.0,Final population size,10
4.0,Feasible,1.0
4.0,Optimization rounds,1
5.0,Cost,4.9853563
5.0,Pre-adversary cost,77.944145
5.0,Cost gap,-0.0
5.0,Optimization time (s),500.0075874328613
5.0,Compilation time (s),0.0
5.0,STL Robustness,-1.0818865
5.0,Pre-adversary STL Robustness,-74.33672
5.0,Total effort (N-s),77948.195
5.0,Optimization rounds,2
5.0,Final population size,9
5.0,Feasible,1.0
5.0,Optimization rounds,1
6.0,Feasible,0.0
6.0,Optimization time (s),500.00222873687744
6.0,Optimization rounds,1.0
7.0,Cost,4.3907146
7.0,Pre-adversary cost,77.92659
7.0,Cost gap,-0.0
7.0,Optimization time (s),500.004275560379
7.0,Compilation time (s),0.0
7.0,STL Robustness,-0.9551776
7.0,Pre-adversary STL Robustness,-74.337944
7.0,Total effort (N-s),68807.16
7.0,Optimization rounds,3
7.0,Final population size,10
7.0,Feasible,1.0
7.0,Optimization rounds,1
8.0,Cost,4.5113435
8.0,Pre-adversary cost,77.78096
8.0,Cost gap,-0.0
8.0,Optimization time (s),500.0024049282074
8.0,Compilation time (s),0.0
8.0,STL Robustness,-0.9557164
8.0,Pre-adversary STL Robustness,-74.3397
8.0,Total effort (N-s),71124.06
8.0,Optimization rounds,2
8.0,Final population size,9
8.0,Feasible,1.0
8.0,Optimization rounds,1
9.0,Cost,10.998819
9.0,Pre-adversary cost,77.88043
9.0,Cost gap,-0.0
9.0,Optimization time (s),500.00712871551514
9.0,Compilation time (s),0.0
9.0,STL Robustness,-6.36288
9.0,Pre-adversary STL Robustness,-74.34078
9.0,Total effort (N-s),186291.31
9.0,Optimization rounds,3
9.0,Final population size,10
9.0,Feasible,1.0
9.0,Optimization rounds,1
10.0,Cost,4.2801886
10.0,Pre-adversary cost,77.925735
10.0,Cost gap,-0.0
10.0,Optimization time (s),500.0035767555237
10.0,Compilation time (s),0.0
10.0,STL Robustness,-0.9558057
10.0,Pre-adversary STL Robustness,-74.34141
10.0,Total effort (N-s),66539.05
10.0,Optimization rounds,3
10.0,Final population size,10
10.0,Feasible,1.0
10.0,Optimization rounds,1
11.0,Feasible,0.0
11.0,Optimization time (s),500.0020775794983
11.0,Optimization rounds,1.0
12.0,Cost,17.188187
12.0,Pre-adversary cost,78.05429
12.0,Cost gap,-0.0
12.0,Optimization time (s),500.0056781768799
12.0,Compilation time (s),0.0
12.0,STL Robustness,-14.033545
12.0,Pre-adversary STL Robustness,-74.339584
12.0,Total effort (N-s),193169.86
12.0,Optimization rounds,2
12.0,Final population size,9
12.0,Feasible,1.0
12.0,Optimization rounds,1
13.0,Cost,6.3078675
13.0,Pre-adversary cost,77.77211
13.0,Cost gap,-0.0
13.0,Optimization time (s),500.0073661804199
13.0,Compilation time (s),0.0
13.0,STL Robustness,-9.985611
13.0,Pre-adversary STL Robustness,-74.342316
13.0,Total effort (N-s),105144.83
13.0,Optimization rounds,2
13.0,Final population size,9
13.0,Feasible,1.0
13.0,Optimization rounds,1
14.0,Cost,6.158077
14.0,Pre-adversary cost,77.847595
14.0,Cost gap,-0.0
14.0,Optimization time (s),500.00324058532715
14.0,Compilation time (s),0.0
14.0,STL Robustness,-3.373798
14.0,Pre-adversary STL Robustness,-74.34246
14.0,Total effort (N-s),83175.625
14.0,Optimization rounds,6
14.0,Final population size,13
14.0,Feasible,1.0
14.0,Optimization rounds,1
15.0,Feasible,0.0
15.0,Optimization time (s),500.003185749054
15.0,Optimization rounds,1.0
16.0,Feasible,0.0
16.0,Optimization time (s),500.0036189556122
16.0,Optimization rounds,1.0
17.0,Cost,5.1086936
17.0,Pre-adversary cost,77.845215
17.0,Cost gap,-0.0
17.0,Optimization time (s),500.0029664039612
17.0,Compilation time (s),0.0
17.0,STL Robustness,-4.398026
17.0,Pre-adversary STL Robustness,-74.33965
