seed,measurement,value
0.0,Cost,11.294809
0.0,Cost gap,7.183315
0.0,Optimization time (s),5.79368347581476
0.0,Compilation time (s),106.04043179610744
0.0,STL Robustness,-4.4431663
0.0,Total effort (N-s),136207.19
0.0,Optimization rounds,1.0
0.0,Final population size,1.0
1.0,Cost,6.4025645
1.0,Cost gap,3.7829492
1.0,Optimization time (s),2.384804296772927
1.0,Compilation time (s),105.86243782797828
1.0,STL Robustness,-1.9648204
1.0,Total effort (N-s),88122.86
1.0,Optimization rounds,1.0
1.0,Final population size,1.0
2.0,Cost,8.583103
2.0,Cost gap,4.6526217
2.0,Optimization time (s),5.137309076730162
2.0,Compilation time (s),106.47147353133188
2.0,STL Robustness,-2.8515596
2.0,Total effort (N-s),114630.71
2.0,Optimization rounds,1.0
2.0,Final population size,1.0
3.0,Cost,8.359468
3.0,Cost gap,5.2535267
3.0,Optimization time (s),5.404692304786295
3.0,Compilation time (s),108.45998486177996
3.0,STL Robustness,-2.6900003
3.0,Total effort (N-s),113209.98
3.0,Optimization rounds,1.0
3.0,Final population size,1.0
4.0,Cost,6.4765267
4.0,Cost gap,4.366811
4.0,Optimization time (s),3.682854238897562
4.0,Compilation time (s),100.3703249618411
4.0,STL Robustness,-1.9337809
4.0,Total effort (N-s),90731.86
4.0,Optimization rounds,1.0
4.0,Final population size,1.0
5.0,Cost,8.06509
5.0,Cost gap,4.621985
5.0,Optimization time (s),4.854474312160164
5.0,Compilation time (s),102.23663012078032
5.0,STL Robustness,-2.9780767
5.0,Total effort (N-s),101544.016
5.0,Optimization rounds,1.0
5.0,Final population size,1.0
6.0,Cost,9.952011
6.0,Cost gap,6.428722
6.0,Optimization time (s),4.5872289733961225
6.0,Compilation time (s),107.07452932326125
6.0,STL Robustness,-3.7737963
6.0,Total effort (N-s),122740.61
6.0,Optimization rounds,1.0
6.0,Final population size,1.0
7.0,Cost,9.651863
7.0,Cost gap,5.5371156
7.0,Optimization time (s),3.153689994942397
7.0,Compilation time (s),65.18977480521426
7.0,STL Robustness,-4.259441
7.0,Total effort (N-s),107653.78
7.0,Optimization rounds,1.0
7.0,Final population size,1.0
8.0,Cost,7.758841
8.0,Cost gap,4.788162
8.0,Optimization time (s),3.1972463126294315
8.0,Compilation time (s),66.22220128774643
8.0,STL Robustness,-2.5799053
8.0,Total effort (N-s),103431.09
8.0,Optimization rounds,1.0
8.0,Final population size,1.0
9.0,Cost,8.539257
9.0,Cost gap,5.3325214
9.0,Optimization time (s),2.931204281747341
9.0,Compilation time (s),66.34283362701535
