,time,measurement,value
0,1646169170.6571436,state_est_mean,"[-1.4999998807907104, -1.5000001192092896, 9.384525765199214e-05]"
1,1646169170.6571436,control_command,"[0.20083841681480408, -0.0349847748875618]"
2,1646169170.676591,state_est_mean,"[-1.4999998807907104, -1.5000001192092896, 0.0003069642116315663]"
3,1646169170.676591,control_command,"[0.20083841681480408, -0.0349847748875618]"
4,1646169170.695699,state_est_mean,"[-1.4999998807907104, -1.5000001192092896, 0.0003069642116315663]"
5,1646169170.695699,control_command,"[0.20053577423095703, -0.03560555353760719]"
6,1646169170.7156646,state_est_mean,"[-1.4999998807907104, -1.5000001192092896, 0.0003069642116315663]"
7,1646169170.7156646,control_command,"[0.20053577423095703, -0.03560555353760719]"
8,1646169170.7357295,state_est_mean,"[-1.4999998807907104, -1.5000001192092896, 0.00016706596943549812]"
9,1646169170.7357295,control_command,"[0.20053577423095703, -0.03560555353760719]"
10,1646169170.7561476,state_est_mean,"[-1.4999998807907104, -1.5000001192092896, 0.0003146943054161966]"
11,1646169170.7561476,control_command,"[0.20053577423095703, -0.03560555353760719]"
12,1646169170.7758603,state_est_mean,"[-1.4999998807907104, -1.5000001192092896, 0.0003146943054161966]"
13,1646169170.7758603,control_command,"[0.20053577423095703, -0.03560555353760719]"
14,1646169170.795777,state_est_mean,"[-1.4999998807907104, -1.5000001192092896, 0.0003146943054161966]"
15,1646169170.795777,control_command,"[0.20028086006641388, -0.03623835742473602]"
16,1646169170.815496,state_est_mean,"[-1.499746561050415, -1.5000001192092896, 0.0010262206196784973]"
17,1646169170.815496,control_command,"[0.20028086006641388, -0.03623835742473602]"
18,1646169170.8355942,state_est_mean,"[-1.496279001235962, -1.4999970197677612, 0.0007359199807979167]"
19,1646169170.8355942,control_command,"[0.20028086006641388, -0.03623835742473602]"
20,1646169170.8537374,state_est_mean,"[-1.496279001235962, -1.4999970197677612, 0.0007359199807979167]"
21,1646169170.8537374,control_command,"[0.20028086006641388, -0.03623835742473602]"
